COMPANY;CATEGORY;DESCRIPTION
Citigroup;Banking;"Citigroup Inc. or Citi (stylized as citi) is an American multinational investment bank and financial services company based in New York City. The company was formed in 1998 by the merger of Citicorp, the bank holding company for Citibank, and Travelers; Travelers was spun off from the company in 2002.
Citigroup is the third-largest banking institution in the United States by assets; alongside JPMorgan Chase, Bank of America, and Wells Fargo, it is one of the Big Four banking institutions of the United States. It is considered a systemically important bank by the Financial Stability Board, and is commonly cited as being ""too big to fail"". It is one of the eight global investment banks in the Bulge Bracket. Citigroup is ranked 36th on the Fortune 500, and was ranked #24 in Forbes Global 2000 in 2023.
Citigroup operates with two major divisions: Institutional Clients Group (ICG), which offers investment banking and corporate banking services, as well as treasury and trade solutions (TTS) and securities services such as custodian banking; and Personal Banking and Wealth Management (PBWM), which includes Citibank, a retail bank, the third largest issuer of credit cards, as well as its wealth management business.


== History ==

Citigroup was formed on October 8, 1998, following the merger of Citicorp, the bank holding company for Citibank, and Travelers to create the world's largest financial services organization.


=== Citicorp (1812–1985) ===
Citibank (formerly City Bank of New York) was chartered by the State of New York on June 16, 1812, with $2 million (~$43.4 million in 2023) of capital."
General Electric;Conglomerates;"Error: Page id ""general electic"" does not match any pages. Try another id!"
American Intl Group;Insurance;"American International Group, Inc. (AIG) is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. As of 2023, AIG employed 25,200 people. The company operates through three core businesses: general insurance, life & retirement, and a standalone technology-enabled subsidiary. General Insurance includes Commercial, Personal Insurance, U.S. and International field operations. Life & Retirement includes Group Retirement, Individual Retirement, Life, and Institutional Markets.
AIG is the title sponsor of the AIG Women's Open golf tournament. In 2023, for the sixth consecutive year, DiversityInc named AIG among the Top 50 Companies for Diversity list.
AIG's corporate headquarters are in New York City and the company also has offices around the world. AIG serves 87% of the Fortune Global 500 and 83% of the Forbes 2000."
ExxonMobil;Oil & gas operations;"Exxon Mobil Corporation ( EK-son-MOH-bəl) is an American multinational oil and gas corporation headquartered in Spring, Texas, a suburb of Houston.: 1  Founded as the largest direct successor of John D. Rockefeller's Standard Oil, the modern company was formed in 1999 following the merger of Exxon and Mobil. It is vertically integrated across the entire oil and gas industry, as well as within its chemicals division, which produces plastic, synthetic rubber, and other chemical products. As the largest U.S.-based oil and gas company, ExxonMobil is the seventh-largest company by revenue in the U.S. and 13th-largest in the world. It is the largest investor-owned oil company in the world. Approximately 55.56% of the company's shares are held by institutions, the largest of which as of 2019 were The Vanguard Group (8.15%), BlackRock (6.61%), and State Street Corporation (4.83%).
The company has been widely criticized and sued, mostly for environmental incidents and its history of climate change denial against the scientific consensus that fossil fuels significantly contribute to global warming. The company is responsible for many oil spills, the largest and most notable of which was the 1989 Exxon Valdez oil spill in Alaska and itself considered to be one of the world's worst oil spills in terms of environmental damage. The company has been the target of accusations of human rights violations, excessive influence on American foreign policy, and its impact on developing countries.


== History ==

ExxonMobil traces its roots to Vacuum Oil Company, founded in 1866. Vacuum Oil later was acquired by Standard Oil in 1879, divested from Standard in 1911 with its breakup, and merged by the Standard Oil Company of New York (Socony), later known as Mobil, in 1931."
BP;Oil & gas operations;"B, or b, is the second letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is bee (pronounced  ), plural bees.
It represents the voiced bilabial stop in many languages, including English. In some other languages, it is used to represent other bilabial consonants.


== History ==

The Roman ⟨B⟩ derived from the Greek capital beta ⟨Β⟩ via its Etruscan and Cumaean variants. The Greek letter was an adaptation of the Phoenician letter bēt ⟨𐤁⟩. The Egyptian hieroglyph for the consonant /b/ had been an image of a foot and calf ⟨  ⟩, but bēt (Phoenician for ""house"") was a modified form of a Proto-Sinaitic glyph ⟨  ⟩ adapted from the separate hieroglyph Pr ⟨  ⟩ meaning ""house"". The Hebrew letter bet ⟨ב⟩ is a separate development of the Phoenician letter.
By Byzantine times, the Greek letter ⟨Β⟩ came to be pronounced /v/, so that it is known in modern Greek as víta (still written βήτα). The Cyrillic letter ve ⟨В⟩ represents the same sound, so a modified form known as be ⟨Б⟩ was developed to represent the Slavic languages' /b/."
Bank of America;Banking;"Error: Page id ""band of america"" does not match any pages. Try another id!"
HSBC Group;Banking;"Error: Page id ""ha c"" does not match any pages. Try another id!"
Toyota Motor;Consumer durables;"Toyota Motor Corporation (Japanese: トヨタ自動車株式会社, Hepburn: Toyota Jidōsha kabushikigaisha, IPA: [toꜜjota], English: , commonly known as simply Toyota) is a Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan. It was founded by Kiichiro Toyoda and incorporated on August 28, 1937. Toyota is the largest automobile manufacturer in the world, producing about 10 million vehicles per year.
The company was founded as a spinoff of Toyota Industries, a machine maker started by Sakichi Toyoda, Kiichiro's father. Both companies are now part of the Toyota Group, one of the largest conglomerates in the world. While still a department of Toyota Industries, the company developed its first product, the Type A engine, in 1934 and its first passenger car in 1936, the Toyota AA.
After World War II, Toyota benefited from Japan's alliance with the United States to learn from American automakers and other companies, which gave rise to The Toyota Way (a management philosophy) and the Toyota Production System (a lean manufacturing practice) that transformed the small company into a leader in the industry and was the subject of many academic studies.
In the 1960s, Toyota took advantage of the rapidly growing Japanese economy to sell cars to a growing middle-class, leading to the development of the Toyota Corolla, which became the world's all-time best-selling automobile. The booming economy also funded an international expansion that allowed Toyota to grow into one of the largest automakers in the world, the largest company in Japan and the ninth-largest company in the world by revenue, as of December 2020. Toyota was the world's first automobile manufacturer to produce more than 10 million vehicles per year, a record set in 2012, when it also reported the production of its 200 millionth vehicle. By September 2023, total production reached 300 million vehicles."
Fannie Mae;Diversified financials;"Error: Page id ""fannie may"" does not match any pages. Try another id!"
Wal-Mart Stores;Retailing;"Peckham Rock, also called Wall Art, is a 2005 artwork by British street artist Banksy, in the form of a lump of concrete decorated in the style of a cave painting and depicting ""a supposed prehistoric figure pushing a shopping trolley"". It was originally displayed in the British Museum, without the knowledge of the museum staff, after being installed there by Banksy.


== Original installation ==
Peckham Rock is a piece of concrete, approximately 15 cm × 25 cm, supposedly sourced from Peckham but actually from Hackney. It depicts a buffalo, pierced by arrows, and a ""lumbering hominin-like figure"" pushing a shopping trolley.
In a 2005 art intervention, Banksy clandestinely attached the rock to a wall in the ""Roman Britain"" collection of the British Museum, with a placard in the style of the museum with the title ""Wall art"" that dated the piece to the ""post catatonic era"" and credited it to a little-known artist named ""Banksymus Maximus"".
The work went undiscovered for ""several days"", with later sources giving more specific but inconsistent amounts of time ranging from ""three days"", to ""weeks"". It was not the first such installation by Banksy; in 2003, he similarly hung a painting in the Tate, and earlier in 2005, he installed a fake beetle in the American Museum of Natural History in New York.


== Subsequent exhibits ==
After Peckham Rock was removed from the British Museum's walls, it was re-exhibited in 2005 at the Outside Institute in London, listed as on loan from Banksy and the British Museum.
Banksy stated that he did not intend to retrieve Peckham Rock, and the British Museum wrote at the time that they were accepting it ""as a donation to its collections"". However, it was eventually labelled as ""lost property"" and returned to Banksy."
